CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Maharashtra Scooters Ltd.,INE288A01013,MAHSCOOTER,500266.000000,2024-02-01,True,2024-02-01,10540012.000000,2023-12-31,3.000000,3.000000,70700000.000000,51600000.000000,19100000.000000,0.000000,5100000.000000,0.000000,14000000.000000,4000000.000000,10000000.000000,10000000.000000,114300000.000000,0.000000,0.087489,14.144272,False,-66.777409,-18.828932,17.299213,4.051992,2060300000.000000,7.067505,1769.449827,2.0352940216282374,4.020835119558875,-26.568905440452294,-76.26015658287412,17866.981032057454,1276.294385136128
Atul Auto Ltd.,INE951D01028,ATULAUTO,531795.000000,2023-12-31,True,2024-02-01,10540017.000000,2023-09-30,3.000000,2.000000,1397300000.000000,1242300000.000000,155000000.000000,3200000.000000,38500000.000000,0.000000,113300000.000000,28100000.000000,85200000.000000,85200000.000000,138800000.000000,0.000000,0.613833,6.097474,False,1719.931459,22.184330,-0.615503,,512700000.000000,,372.776890,150.11809727422946,54.769410883353146,52.14609868733946,6279.239324701152,-266.7405063291139,-98.87313959124558
Bajaj Auto Ltd.,INE917I01010,BAJAJ-AUTO,532977.000000,2024-02-01,True,2024-02-01,10540026.000000,2023-12-31,3.000000,3.000000,124596200000.000000,96836400000.000000,27759800000.000000,121000000.000000,881200000.000000,0.000000,26757600000.000000,6338800000.000000,20418800000.000000,20418800000.000000,2831800000.000000,0.000000,7.210537,16.387980,False,36.802087,30.000856,6.489044,20.301794,111386200000.000000,5.720431,920.022109,23.069494423614458,18.281278620986637,18.639564635763875,4.970604335726954,8979.525720371572,170807.7721594531
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,2024-02-01,True,2024-02-01,10550001.000000,2023-12-31,3.000000,3.000000,38632600000.000000,34006000000.000000,4626600000.000000,144600000.000000,1273600000.000000,0.000000,3208400000.000000,805700000.000000,2402700000.000000,2402700000.000000,850000000.000000,0.000000,2.826706,6.219359,False,7.657496,12.674191,3.376471,16.557690,41458300000.000000,10.424136,1896.393346,-79.71071923957331,7.707953996214354,9637.774885458226,12205.531055864343,-120.91452524300097,-91.70170473271669
JTEKT India Ltd.,INE643A01035,JTEKTINDIA,520057.000000,2023-12-31,True,2024-02-01,10560007.000000,2023-12-31,3.000000,3.000000,5534608000.000000,5010076000.000000,524532000.000000,14705000.000000,198867000.000000,0.000000,310960000.000000,73431000.000000,237529000.000000,237529000.000000,244480000.000000,0.000000,0.971568,4.291704,False,77.195652,15.510230,1.215245,-0.059540,6006328000.000000,2.457236,1386.688674,35.125884400233055,7.688570439035811,6836.754770770347,3535.8890221787483,-66.27268157379693,11.23278136252738
Automotive Axles Ltd.,INE449A01011,AUTOAXLES,505010.000000,2023-12-31,True,2024-02-01,10580001.000000,2023-12-31,3.000000,3.000000,5456120000.000000,4834460000.000000,621660000.000000,5950000.000000,89700000.000000,0.000000,526010000.000000,134560000.000000,391450000.000000,391450000.000000,151120000.000000,0.000000,2.590326,7.174512,False,-22.765030,-16.970336,2.983589,49.629974,5882290000.000000,23.601670,240.140301,15.202690628172347,8.013227166651793,1205.1428050841646,295.5517091174165,-108.22056233016073,-75.9074304808544
Rane Holdings Ltd.,INE384A01010,RANEHOLDIN,505800.000000,2023-12-31,True,2024-02-01,10580006.000000,2023-12-31,3.000000,3.000000,280100000.000000,131600000.000000,148500000.000000,11600000.000000,13000000.000000,0.000000,123900000.000000,18500000.000000,105400000.000000,105400000.000000,142800000.000000,0.000000,0.738095,37.629418,False,41.286863,17.689076,3.179059,115.355608,692800000.000000,74.377045,331.889010,31.1284046692607,30.276430567050657,490.94491855569817,8.249682313078159,1930.330105163096,6733.673123863931
Rane (Madras) Ltd.,INE050H01012,RML,532661.000000,2023-12-31,True,2024-02-01,10580014.000000,2023-12-31,3.000000,3.000000,5214300000.000000,4709200000.000000,505100000.000000,146400000.000000,208500000.000000,0.000000,150200000.000000,37900000.000000,112300000.000000,112300000.000000,162700000.000000,0.000000,0.690227,2.153693,False,-66.286400,-4.552444,0.444376,-54.327227,5728700000.000000,6.671756,-210.836860,-302.91035343422584,7.435126922413716,321.61931786084614,36.649070553191265,-1601.6489160644799,440434.8882630171
Wheels India Ltd.,INE715A01015,WHEELS,590073.000000,2023-12-31,True,2024-02-01,10590002.000000,2023-12-31,3.000000,3.000000,11314300000.000000,10685700000.000000,628600000.000000,266300000.000000,198300000.000000,0.000000,164000000.000000,38200000.000000,125800000.000000,125800000.000000,244300000.000000,0.000000,0.514941,1.111867,False,-14.790427,11.298779,0.214490,-65.913880,11892800000.000000,7.220584,-1.029217,-19.20436527657573,7.720762937161065,202.7590320844266,165.67753689898865,-196.78852839922288,0.2500363886909669
Steel Strips Wheels Ltd.,INE802C01033,SSWL,513262.000000,2023-12-31,True,2024-02-01,10590003.000000,2023-12-31,3.000000,3.000000,11119887000.000000,9936147000.000000,1183740000.000000,250799000.000000,225036000.000000,0.000000,707905000.000000,112555000.000000,595350000.000000,595350000.000000,156929000.000000,0.000000,3.793754,5.353921,False,35.670892,18.235942,3.348961,-4.013742,11366804000.000000,4.789334,3238.791394,5.584429390132045,4.837878659833595,-3.118505871371005,28.01575839844049,32314.08336133337,120.79091232766818
UNO Minda Ltd.,INE405E01023,UNOMINDA,532539.000000,2024-02-01,True,2024-02-01,10600006.000000,2023-12-31,3.000000,3.000000,22705700000.000000,20291700000.000000,2414000000.000000,157300000.000000,668600000.000000,0.000000,1588100000.000000,376800000.000000,1211300000.000000,1211300000.000000,1146400000.000000,0.000000,1.056612,5.334784,False,14.504605,34.173827,1.538341,9.884224,23550200000.000000,25.782193,16148.344004,24.935659680559926,26.52591332078102,-77.99515649962228,3331.5516911994882,161515.84571279646,235.74120885748906
Federal-Mogul Goetze (India) Ltd.,INE529A01010,FMGOETZE,505744.000000,2023-12-31,True,2024-02-01,10610003.000000,2023-12-31,3.000000,3.000000,4203854000.000000,3678350000.000000,525504000.000000,12124000.000000,194580000.000000,0.000000,318800000.000000,84067000.000000,234733000.000000,234733000.000000,556321000.000000,0.000000,0.421938,5.583757,False,1.450447,7.063808,0.638110,33.409748,4489176000.000000,3.936369,1506.364007,33.02090959509491,7.174481210995124,7497.552870728703,352914.24870651204,-100.24878822974306,-99.6525469344932
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,2024-02-01,True,2024-02-01,10610013.000000,2023-12-31,3.000000,3.000000,43600000000.000000,36268000000.000000,7332000000.000000,39000000.000000,1173000000.000000,588000000.000000,6708000000.000000,1527000000.000000,5181000000.000000,5181000000.000000,295000000.000000,0.000000,17.562712,11.883028,False,62.464722,15.006199,33.861017,168.233083,42843000000.000000,12.410464,512.745886,68.95573806466314,17.679881059806032,2.0075930119895378,20.62888157210651,4455.180850328602,
GNA Axles Ltd.,INE934S01014,GNA,540124.000000,2023-12-31,True,2024-02-01,10610046.000000,2023-12-31,3.000000,3.000000,3573070000.000000,3099088000.000000,473982000.000000,24950000.000000,128945000.000000,0.000000,320087000.000000,95411000.000000,224676000.000000,224676000.000000,429308000.000000,0.000000,0.523345,6.288038,False,-68.605148,-11.700984,0.643706,-58.613563,4049258000.000000,-3.580762,157.806121,-32.82711148796012,35.21300300789257,1025.3884358862595,38800.27053901739,-119.79690178135378,-99.62032027270288
Varroc Engineering Ltd.,INE665L01035,VARROC,541578.000000,2024-02-01,True,2024-02-01,10610049.000000,2023-12-31,3.000000,3.000000,11747600000.000000,10610240000.000000,1137360000.000000,432630000.000000,494820000.000000,0.000000,209910000.000000,-2832090000.000000,3042000000.000000,3042000000.000000,152790000.000000,0.000000,19.909680,25.894651,False,160852.380952,19.749443,0.138098,100.155912,11270840000.000000,1.906237,-21666.517037,119.50184205435987,9.950389964879378,-269414.22629699705,,-100.29703372033254,-100.0
