CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth
Maharashtra Scooters Ltd.,INE288A01013,MAHSCOOTER,500266.000000,2024-02-01,True,2024-02-01,10540012.000000,2023-12-31,3.000000,3.000000,70700000.000000,51600000.000000,19100000.000000,0.000000,5100000.000000,0.000000,14000000.000000,4000000.000000,10000000.000000,10000000.000000,114300000.000000,0.000000,0.087489,14.144272,False,-66.777409,-18.828932,17.299213,4.051992,2060300000.000000,7.067505
Atul Auto Ltd.,INE951D01028,ATULAUTO,531795.000000,2023-12-31,True,2024-02-01,10540017.000000,2023-09-30,3.000000,2.000000,1397300000.000000,1242300000.000000,155000000.000000,3200000.000000,38500000.000000,0.000000,113300000.000000,28100000.000000,85200000.000000,85200000.000000,138800000.000000,0.000000,0.613833,6.097474,False,1719.931459,22.184330,-0.615503,,512700000.000000,
Bajaj Auto Ltd.,INE917I01010,BAJAJ-AUTO,532977.000000,2024-02-01,True,2024-02-01,10540026.000000,2023-12-31,3.000000,3.000000,124596200000.000000,96836400000.000000,27759800000.000000,121000000.000000,881200000.000000,0.000000,26757600000.000000,6338800000.000000,20418800000.000000,20418800000.000000,2831800000.000000,0.000000,7.210537,16.387980,False,36.802087,30.000856,6.489044,20.301794,111386200000.000000,5.720431
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086.000000,2024-02-01,True,2024-02-01,10550001.000000,2023-12-31,3.000000,3.000000,38632600000.000000,34006000000.000000,4626600000.000000,144600000.000000,1273600000.000000,0.000000,3208400000.000000,805700000.000000,2402700000.000000,2402700000.000000,850000000.000000,0.000000,2.826706,6.219359,False,7.657496,12.674191,3.376471,16.557690,41458300000.000000,10.424136
JTEKT India Ltd.,INE643A01035,JTEKTINDIA,520057.000000,2023-12-31,True,2024-02-01,10560007.000000,2023-12-31,3.000000,3.000000,5534608000.000000,5010076000.000000,524532000.000000,14705000.000000,198867000.000000,0.000000,310960000.000000,73431000.000000,237529000.000000,237529000.000000,244480000.000000,0.000000,0.971568,4.291704,False,77.195652,15.510230,1.215245,-0.059540,6006328000.000000,2.457236
Automotive Axles Ltd.,INE449A01011,AUTOAXLES,505010.000000,2023-12-31,True,2024-02-01,10580001.000000,2023-12-31,3.000000,3.000000,5456120000.000000,4834460000.000000,621660000.000000,5950000.000000,89700000.000000,0.000000,526010000.000000,134560000.000000,391450000.000000,391450000.000000,151120000.000000,0.000000,2.590326,7.174512,False,-22.765030,-16.970336,2.983589,49.629974,5882290000.000000,23.601670
Rane Holdings Ltd.,INE384A01010,RANEHOLDIN,505800.000000,2023-12-31,True,2024-02-01,10580006.000000,2023-12-31,3.000000,3.000000,280100000.000000,131600000.000000,148500000.000000,11600000.000000,13000000.000000,0.000000,123900000.000000,18500000.000000,105400000.000000,105400000.000000,142800000.000000,0.000000,0.738095,37.629418,False,41.286863,17.689076,3.179059,115.355608,692800000.000000,74.377045
Rane (Madras) Ltd.,INE050H01012,RML,532661.000000,2023-12-31,True,2024-02-01,10580014.000000,2023-12-31,3.000000,3.000000,5214300000.000000,4709200000.000000,505100000.000000,146400000.000000,208500000.000000,0.000000,150200000.000000,37900000.000000,112300000.000000,112300000.000000,162700000.000000,0.000000,0.690227,2.153693,False,-66.286400,-4.552444,0.444376,-54.327227,5728700000.000000,6.671756
Wheels India Ltd.,INE715A01015,WHEELS,590073.000000,2023-12-31,True,2024-02-01,10590002.000000,2023-12-31,3.000000,3.000000,11314300000.000000,10685700000.000000,628600000.000000,266300000.000000,198300000.000000,0.000000,164000000.000000,38200000.000000,125800000.000000,125800000.000000,244300000.000000,0.000000,0.514941,1.111867,False,-14.790427,11.298779,0.214490,-65.913880,11892800000.000000,7.220584
Steel Strips Wheels Ltd.,INE802C01033,SSWL,513262.000000,2023-12-31,True,2024-02-01,10590003.000000,2023-12-31,3.000000,3.000000,11119887000.000000,9936147000.000000,1183740000.000000,250799000.000000,225036000.000000,0.000000,707905000.000000,112555000.000000,595350000.000000,595350000.000000,156929000.000000,0.000000,3.793754,5.353921,False,35.670892,18.235942,3.348961,-4.013742,11366804000.000000,4.789334
UNO Minda Ltd.,INE405E01023,UNOMINDA,532539.000000,2024-02-01,True,2024-02-01,10600006.000000,2023-12-31,3.000000,3.000000,22705700000.000000,20291700000.000000,2414000000.000000,157300000.000000,668600000.000000,0.000000,1588100000.000000,376800000.000000,1211300000.000000,1211300000.000000,1146400000.000000,0.000000,1.056612,5.334784,False,14.504605,34.173827,1.538341,9.884224,23550200000.000000,25.782193
Federal-Mogul Goetze (India) Ltd.,INE529A01010,FMGOETZE,505744.000000,2023-12-31,True,2024-02-01,10610003.000000,2023-12-31,3.000000,3.000000,4203854000.000000,3678350000.000000,525504000.000000,12124000.000000,194580000.000000,0.000000,318800000.000000,84067000.000000,234733000.000000,234733000.000000,556321000.000000,0.000000,0.421938,5.583757,False,1.450447,7.063808,0.638110,33.409748,4489176000.000000,3.936369
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,2024-02-01,True,2024-02-01,10610013.000000,2023-12-31,3.000000,3.000000,43600000000.000000,36268000000.000000,7332000000.000000,39000000.000000,1173000000.000000,588000000.000000,6708000000.000000,1527000000.000000,5181000000.000000,5181000000.000000,295000000.000000,0.000000,17.562712,11.883028,False,62.464722,15.006199,33.861017,168.233083,42843000000.000000,12.410464
GNA Axles Ltd.,INE934S01014,GNA,540124.000000,2023-12-31,True,2024-02-01,10610046.000000,2023-12-31,3.000000,3.000000,3573070000.000000,3099088000.000000,473982000.000000,24950000.000000,128945000.000000,0.000000,320087000.000000,95411000.000000,224676000.000000,224676000.000000,429308000.000000,0.000000,0.523345,6.288038,False,-68.605148,-11.700984,0.643706,-58.613563,4049258000.000000,-3.580762
Varroc Engineering Ltd.,INE665L01035,VARROC,541578.000000,2024-02-01,True,2024-02-01,10610049.000000,2023-12-31,3.000000,3.000000,11747600000.000000,10610240000.000000,1137360000.000000,432630000.000000,494820000.000000,0.000000,209910000.000000,-2832090000.000000,3042000000.000000,3042000000.000000,152790000.000000,0.000000,19.909680,25.894651,False,160852.380952,19.749443,0.138098,100.155912,11270840000.000000,1.906237
Lumax Industries Ltd.,INE162B01018,LUMAXIND,517206.000000,2023-12-31,True,2024-02-01,10620002.000000,2023-12-31,3.000000,3.000000,6597160000.000000,5740297000.000000,856863000.000000,128305000.000000,233335000.000000,0.000000,495223000.000000,131511000.000000,363712000.000000,363712000.000000,93477000.000000,0.000000,3.890925,5.513160,False,67.079490,13.599025,1.710228,-35.027677,6455082000.000000,3.445899
FIEM Industries Ltd.,INE737H01014,FIEMIND,532768.000000,2023-12-31,True,2024-02-01,10620029.000000,2023-12-31,3.000000,3.000000,4919428000.000000,4224885000.000000,694543000.000000,4057000.000000,143656000.000000,0.000000,546830000.000000,143843000.000000,402987000.000000,402987000.000000,131598000.000000,0.000000,3.062258,8.191745,False,25.872075,10.421128,3.184729,7.135937,5128371000.000000,-2.690892
Subros Ltd.,INE287B01021,SUBROS,517168.000000,2023-12-15,True,2024-02-01,10630002.000000,2023-12-31,3.000000,3.000000,7390700000.000000,6729200000.000000,661500000.000000,38200000.000000,283700000.000000,0.000000,339600000.000000,71700000.000000,267900000.000000,267900000.000000,130500000.000000,0.000000,2.052874,3.624826,False,227.106227,11.473605,2.048276,172.199593,8162100000.000000,16.689779
Suprajit Engineering Ltd.,INE399C01030,SUPRAJIT,532509.000000,2024-02-01,True,2024-02-01,10630007.000000,2023-12-31,3.000000,3.000000,4201590000.000000,3308020000.000000,893570000.000000,59710000.000000,83900000.000000,0.000000,749960000.000000,176740000.000000,573220000.000000,573220000.000000,138430000.000000,0.000000,4.140865,13.642930,False,5.139873,9.890596,4.242289,10.742504,4055540000.000000,0.591563
Gabriel India Ltd.,INE524A01029,GABRIEL,505714.000000,2023-12-31,True,2024-02-01,10640001.000000,2023-12-31,3.000000,3.000000,8183400000.000000,7436000000.000000,747400000.000000,9990000.000000,143960000.000000,0.000000,593450000.000000,163820000.000000,429630000.000000,429630000.000000,143640000.000000,0.000000,2.991019,5.250018,False,47.517511,14.801405,3.268727,28.406947,8690310000.000000,7.845512
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051.000000,2024-02-01,True,2024-02-01,10650003.000000,2023-12-31,3.000000,3.000000,5942096000.000000,5117642000.000000,824454000.000000,-13223000.000000,111839000.000000,0.000000,725838000.000000,179970000.000000,545868000.000000,545868000.000000,398725000.000000,0.000000,1.369034,9.186455,False,53.488508,5.887401,2.129466,132.887426,6221238000.000000,15.804181
ZF Commercial Vehicle Control Systems India Ltd.,INE342J01019,ZFCVINDIA,533023.000000,2024-02-01,True,2024-02-01,10660012.000000,2023-12-31,3.000000,3.000000,9169691000.000000,7557680000.000000,1612011000.000000,13811000.000000,261482000.000000,0.000000,1336718000.000000,340551000.000000,996167000.000000,996167000.000000,94838000.000000,0.000000,10.503880,10.863692,False,16.615510,1.698895,11.000949,51.997086,10050468000.000000,24.844951
Samvardhana Motherson International Ltd.,INE775A01035,MOTHERSON,517334.000000,2024-02-01,True,2024-02-01,10670029.000000,2023-12-31,3.000000,3.000000,22561000000.000000,19446000000.000000,3115000000.000000,762000000.000000,807900000.000000,0.000000,1545100000.000000,344500000.000000,1200600000.000000,1200600000.000000,6776400000.000000,0.000000,0.177174,5.321573,False,-64.010685,10.147687,0.369710,-21.920434,23739600000.000000,21.398510
Shriram Pistons & Rings Ltd.,INE526E01018,SHRIPISTON,,2023-12-31,True,2024-02-01,10670034.000000,2023-12-31,3.000000,3.000000,7270900000.000000,5534700000.000000,1736200000.000000,60900000.000000,227900000.000000,0.000000,1447400000.000000,365800000.000000,1081600000.000000,1081600000.000000,440500000.000000,0.000000,2.455392,14.875738,False,-28.254083,12.293626,2.602724,-21.468914,7728200000.000000,16.386801
JBM Auto Ltd.,INE927D01044,JBMA,532605.000000,2024-02-01,True,2024-02-01,10670055.000000,2023-12-31,3.000000,3.000000,12638200000.000000,11717500000.000000,920700000.000000,358900000.000000,274500000.000000,0.000000,287300000.000000,80000000.000000,207300000.000000,207300000.000000,236500000.000000,0.000000,0.876533,1.640265,False,-29.707957,34.978800,0.445666,-72.408377,8152100000.000000,-20.193249
Lumax Auto Technologies Ltd.,INE872H01027,LUMAXTECH,532796.000000,2023-12-31,True,2024-02-01,10670065.000000,2023-12-31,3.000000,3.000000,3556489000.000000,3145650000.000000,410839000.000000,78520000.000000,82692000.000000,0.000000,249627000.000000,69797000.000000,179830000.000000,179830000.000000,136315000.000000,0.000000,1.319224,5.056391,False,-0.959944,9.291580,1.603529,0.558492,3541067000.000000,-1.139761
Minda Corporation Ltd.,INE842C01021,MINDACORP,538962.000000,2024-02-01,True,2024-02-01,10670088.000000,2023-12-31,3.000000,3.000000,9709100000.000000,8560800000.000000,1148300000.000000,139200000.000000,342100000.000000,0.000000,667000000.000000,223800000.000000,443200000.000000,443200000.000000,478200000.000000,0.000000,0.926809,4.564790,False,8.680726,11.265055,0.998954,-1.342420,9922800000.000000,8.464868
Sandhar Technologies Ltd.,INE278H01035,SANDHAR,541163.000000,2023-12-31,True,2024-02-01,10670192.000000,2023-12-31,3.000000,3.000000,6971532000.000000,6253504000.000000,718028000.000000,29397000.000000,221644000.000000,0.000000,466987000.000000,130590000.000000,336397000.000000,336397000.000000,601907000.000000,0.000000,0.558885,4.825295,False,25.694823,15.730378,0.459797,66.536288,6864317000.000000,8.265561
Happy Forgings Ltd.,INE330T01021,HAPPYFORGE,544057.000000,2023-12-31,True,2024-02-01,10670234.000000,2023-12-31,3.000000,3.000000,3453138000.000000,2468102000.000000,985036000.000000,37785000.000000,170571000.000000,0.000000,776680000.000000,197705000.000000,578975000.000000,578975000.000000,188410000.000000,0.000000,3.072953,16.766634,False,32.247016,16.599641,,,,
Divgi Torqtransfer Systems Ltd.,INE753U01022,DIVGIITTS,543812.000000,2023-12-31,True,2024-02-01,10670282.000000,2023-12-31,3.000000,3.000000,676760000.000000,501440000.000000,175320000.000000,520000.000000,48420000.000000,0.000000,126380000.000000,32660000.000000,93720000.000000,93720000.000000,152910000.000000,0.000000,0.612910,13.848336,False,-29.974994,3.864453,0.701262,,735340000.000000,
Apollo Tyres Ltd.,INE438A01022,APOLLOTYRE,500877.000000,2024-02-01,True,2024-02-01,10680001.000000,2023-12-31,3.000000,3.000000,43445880000.000000,35478880000.000000,7967000000.000000,995160000.000000,2278710000.000000,-150180000.000000,4542950000.000000,1586740000.000000,2956210000.000000,2956210000.000000,635100000.000000,0.000000,4.654716,6.804351,False,114.900190,2.069110,5.419997,326.003985,44396770000.000000,3.946095
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,2024-02-01,True,2024-02-01,10680003.000000,2023-12-31,3.000000,3.000000,29524200000.000000,25319200000.000000,4205000000.000000,648200000.000000,1273000000.000000,0.000000,2283800000.000000,517200000.000000,1766600000.000000,1766600000.000000,404500000.000000,0.000000,4.367367,5.983566,False,322.530495,8.784819,4.923115,565.797392,30469300000.000000,4.450295
Goodyear India Ltd.,INE533A01012,GOODYEAR,500168.000000,2023-12-31,True,2024-02-01,10680006.000000,2023-12-31,3.000000,3.000000,5965800000.000000,5515900000.000000,449900000.000000,10300000.000000,138500000.000000,0.000000,301100000.000000,82500000.000000,218600000.000000,218600000.000000,230700000.000000,0.000000,0.947551,3.664219,False,-10.446538,-13.908451,1.644560,40.000000,6945300000.000000,-9.982503
JK Tyre & Industries Ltd.,INE573A01042,JKTYRE,530007.000000,2023-12-31,True,2024-02-01,10680007.000000,2023-12-31,3.000000,3.000000,25742100000.000000,22007800000.000000,3734300000.000000,563800000.000000,630900000.000000,-37200000.000000,2502400000.000000,858900000.000000,1643500000.000000,1643500000.000000,521400000.000000,0.000000,3.152091,6.384483,False,189.034553,3.453389,3.654213,398.946493,26835100000.000000,10.976891
TVS Srichakra Ltd.,INE421C01016,TVSSRICHAK,509243.000000,2023-12-31,True,2024-02-01,10680010.000000,2023-12-31,3.000000,3.000000,6793900000.000000,6136300000.000000,657600000.000000,97600000.000000,254000000.000000,-900000.000000,305100000.000000,82600000.000000,222500000.000000,222500000.000000,76600000.000000,0.000000,2.904700,3.274997,False,39.411028,-2.883241,4.832898,3.350084,7050400000.000000,-12.480449
MRF Ltd.,INE883A01011,MRF,500290.000000,2024-02-01,True,2024-02-01,10680013.000000,2023-12-31,3.000000,3.000000,61243900000.000000,50083900000.000000,11160000000.000000,776400000.000000,3591200000.000000,0.000000,6792400000.000000,1712200000.000000,5080200000.000000,5080200000.000000,42400000.000000,0.000000,119.816038,8.295030,False,200.212741,9.268497,134.889151,361.271070,61571900000.000000,6.243626
Oriental Carbon & Chemicals Ltd.,INE321D01016,OCCL,506579.000000,2023-12-31,True,2024-02-01,10700004.000000,2023-12-31,3.000000,3.000000,885680000.000000,723759000.000000,161921000.000000,25509000.000000,72170000.000000,0.000000,64242000.000000,3650000.000000,60592000.000000,60592000.000000,99901000.000000,0.000000,0.606520,6.841297,False,-41.879292,-14.547760,0.835607,7.457038,957021000.000000,-21.982068
PCBL Ltd.,INE602A01031,PCBL,506590.000000,2024-02-01,True,2024-02-01,10700005.000000,2023-12-31,3.000000,3.000000,14891600000.000000,12307800000.000000,2583800000.000000,223800000.000000,384500000.000000,0.000000,1975500000.000000,531000000.000000,1444500000.000000,1444500000.000000,377500000.000000,0.000000,3.826490,9.700099,False,44.204852,1.235223,3.506225,13.936472,13996700000.000000,-14.193845
Aditya Vision Ltd.,INE679V01019,,540205.000000,2023-12-31,True,2024-02-01,10740002.000000,2023-12-31,3.000000,3.000000,4141500000.000000,3697700000.000000,443800000.000000,73500000.000000,80400000.000000,0.000000,289900000.000000,68200000.000000,221700000.000000,221700000.000000,120300000.000000,0.000000,1.842893,5.353133,False,13.575820,30.129454,0.800499,-15.154185,3156000000.000000,21.319290
V-Mart Retail Ltd.,INE665J01013,VMART,534976.000000,2024-02-01,True,2024-02-01,10760013.000000,2023-12-31,3.000000,3.000000,9020800000.000000,7693600000.000000,1327200000.000000,375500000.000000,582900000.000000,0.000000,368800000.000000,86500000.000000,282300000.000000,282300000.000000,197800000.000000,0.000000,1.427199,3.129434,False,41.293585,16.011214,-3.241658,-466.424155,5514200000.000000,8.373676
Avenue Supermarts Ltd.,INE192R01011,DMART,540376.000000,2024-02-01,True,2024-02-01,10760016.000000,2023-12-31,3.000000,3.000000,132917600000.000000,121263900000.000000,11653700000.000000,110700000.000000,1632400000.000000,0.000000,9910600000.000000,2542400000.000000,7368200000.000000,7368200000.000000,6507300000.000000,0.000000,1.132298,5.543434,False,14.413153,17.158700,1.012002,-10.257703,123533500000.000000,18.458501
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755.000000,2024-02-01,True,2024-02-01,10770005.000000,2023-12-31,3.000000,3.000000,35587200000.000000,29475300000.000000,6111900000.000000,2026100000.000000,3479000000.000000,0.000000,606800000.000000,156300000.000000,450500000.000000,450500000.000000,9491800000.000000,0.000000,0.047462,1.265905,False,-20.864381,5.103487,-0.078911,-193.424852,30401500000.000000,2.218434
Vedant Fashions Ltd.,INE825V01034,MANYAVAR,543463.000000,2024-02-01,True,2024-02-01,10780020.000000,2023-12-31,3.000000,3.000000,4886250000.000000,2319240000.000000,2567010000.000000,111720000.000000,337940000.000000,0.000000,2117350000.000000,540590000.000000,1576760000.000000,1576760000.000000,242830000.000000,0.000000,6.493267,32.269327,False,7.273222,11.204042,2.017628,-28.990975,2326520000.000000,-7.468112
ASK Automotive Ltd.,INE491J01022,ASKAUTOLTD,544022.000000,2023-12-31,True,2024-02-01,10990013.000000,2023-12-31,3.000000,3.000000,7463231000.000000,6661834000.000000,801397000.000000,38719000.000000,142446000.000000,0.000000,620232000.000000,156007000.000000,464225000.000000,464225000.000000,394285000.000000,0.000000,1.177384,6.220161,False,,,1.215994,,7962987000.000000,
Landmark Cars Ltd.,INE559R01029,LANDMARK,543714.000000,2023-12-31,True,2024-02-01,10990106.000000,2023-12-31,3.000000,3.000000,1645490000.000000,1337740000.000000,307750000.000000,25730000.000000,87820000.000000,0.000000,194200000.000000,49460000.000000,144740000.000000,144740000.000000,205560000.000000,0.000000,0.704125,8.796164,False,2.839492,30.452603,-0.340811,-149.671875,1590190000.000000,32.058032
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425.000000,2024-02-01,True,2024-02-01,11040005.000000,2023-12-31,3.000000,3.000000,622165000.000000,781409000.000000,-159244000.000000,137008000.000000,16223000.000000,-1966000.000000,-312475000.000000,0.000000,-312475000.000000,-312475000.000000,139627000.000000,0.000000,-2.237927,-50.223815,False,-18.318274,-16.246778,-1.542746,10.561955,819650000.000000,0.121296
Tata Coffee Ltd.,INE493A01027,,532301.000000,2023-12-31,True,2024-02-01,11040006.000000,2023-09-30,3.000000,2.000000,2689300000.000000,2175500000.000000,513800000.000000,24300000.000000,66500000.000000,0.000000,423000000.000000,96500000.000000,326500000.000000,326500000.000000,186800000.000000,0.000000,1.747859,12.140706,False,-77.255312,-1.656549,1.445396,-9.879840,2618700000.000000,7.561817
