CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PAT,Equity,Reserves,EPS,NPM
14060241.000000,2023-12-31,12,4,152412000.0,108294000.0,44118000.0,53000.0,852000.0,0.0,43213000.0,10950000.0,32263000.0,116820000.0,590300000.0,0.27617702448210923,21.168281137943268
17041153.000000,2023-12-31,12,4,865299000.0,521925980.0,343373000.0,11497000.0,33294000.0,0.0,298582000.0,74923000.0,223658990.0,135792000.0,0.0,1.647070460704607,25.847595930099487
12100010.000000,2023-12-31,12,4,25144934000.0,22165942000.0,2978991000.0,326887000.0,390702000.0,0.0,2261402000.0,855101000.0,1406301000.0,2036400000.0,0.0,0.6905819367511294,5.5927809327840805
13150269.000000,2023-12-31,12,4,698746750.0,568881600.0,129865100.0,-48330000.0,14411700.0,0.0,163783400.0,38820700.0,124962696.0,251036992.0,0.0,0.49778598366889293,17.88383275270462
16020137.000000,2023-12-31,12,4,3000.0,1350000.0,-1347000.0,0.0,0.0,0.0,-1347000.0,0.0,-1347000.0,35607000.0,0.0,-0.037829640239278796,-44900.0
14094552.000000,2023-12-31,12,4,29533000.0,3845000.0,25688000.0,603000.0,205000.0,0.0,24880000.0,4441000.0,20439000.0,100031000.0,0.0,0.2043266587357919,69.20732855796814
16490230.000000,2023-12-31,12,4,40623000.0,1555000.0,39068000.0,0.0,0.0,0.0,39068000.0,0.0,39068000.0,156000000.0,0.0,0.25043589743589745,96.17211818695068
15610002.000000,2023-12-31,12,4,23571000.0,23931000.0,-360000.0,2000.0,0.0,0.0,-362000.0,0.0,-362000.0,38504000.0,0.0,-0.009401620610845627,-1.5357854776084423
11250657.000000,2023-12-31,12,4,42673000.0,4796000.0,37877000.0,812000.0,1218000.0,0.0,35847000.0,10458000.0,25389000.0,125100000.0,0.0,0.2029496402877698,59.49663519859314
14010009.000000,2023-12-31,12,4,2445798000.0,224779000.0,2221019100.0,958842050.0,11998000.0,0.0,1210179100.0,254202000.0,955977000.0,903724032.0,0.0,1.0578196331510192,39.08650875091553
14090070.000000,2023-12-31,12,4,1469509000.0,1409044000.0,60465000.0,14728000.0,709000.0,0.0,45028000.0,31218000.0,13810000.0,68223000.0,0.0,0.20242440232766076,0.9397696703672409
17020247.000000,2023-12-31,12,4,240927400.0,216069220.0,24858200.0,586900.0,7293200.0,1596400.0,18574500.0,-1228400.0,19802900.0,174630000.0,0.0,0.1133991868522018,8.219446986913681
16610166.000000,2023-12-31,12,4,7200000.0,4685000.0,2515000.0,0.0,805000.0,0.0,1710000.0,557000.0,1153000.0,9515000.0,0.0,0.12117708880714662,16.013889014720917
14094385.000000,2023-12-31,12,4,31212000.0,39786000.0,-8574000.0,14223000.0,49000.0,0.0,-22846000.0,-2021000.0,-20825000.0,100500000.0,0.0,-0.20721393034825872,-66.72113537788391
14094381.000000,2023-12-31,12,4,55323000.0,12433000.0,42890000.0,0.0,2186000.0,0.0,40704000.0,10102000.0,30602000.0,99800000.0,0.0,0.3066332665330661,55.31514883041382
14060076.000000,2023-12-31,12,4,259752000.0,305370020.0,-45618000.0,2331000.0,9820000.0,0.0,-57769000.0,0.0,-57769000.0,35205000.0,0.0,-1.6409316858400795,-22.240059077739716
15060013.000000,2023-12-31,9,3,176000.0,1109000.0,-933000.0,0.0,0.0,-1900000.0,-2833000.0,0.0,-2833000.0,288948992.0,0.0,-0.009804498643137679,-1609.6590042114258
15600008.000000,2023-12-31,12,4,0.0,2000.0,-2000.0,0.0,33292000.0,0.0,-33294000.0,0.0,-33294000.0,102600000.0,0.0,-0.3245029239766082,
14090550.000000,2023-12-31,12,4,182038020.0,46855000.0,135183000.0,38225000.0,2496000.0,0.0,95061000.0,25177000.0,69884000.0,93225000.0,0.0,0.7496272459104317,38.38978409767151
11140172.000000,2023-12-31,9,3,428772000.0,352249000.0,76523000.0,130000.0,959000.0,0.0,75434000.0,4338000.0,71096000.0,59608000.0,0.0,1.192725808616293,16.581307351589203
14093786.000000,2023-12-31,12,4,1906225200.0,1797463000.0,108762000.0,63418000.0,14238000.0,0.0,31106000.0,12150000.0,18956000.0,300750016.0,0.0,0.0630290905786685,0.994426105171442
14093970.000000,2023-12-31,12,4,729603000.0,152414000.0,577189000.0,12709000.0,24000.0,0.0,564456000.0,62444000.0,502012000.0,229074000.0,0.0,2.1914839746108243,68.80618333816528
16610108.000000,2023-12-31,12,4,1356566100.0,582034940.0,774531300.0,1683900.0,16776600.0,-509076000.0,756070850.0,38852000.0,717218800.0,10500000.0,0.0,68.3065539047619,52.870166301727295
14093667.000000,2023-12-31,12,4,5191000.0,5942000.0,-751000.0,1502000.0,67000.0,0.0,-2573000.0,-352000.0,-2221000.0,249416992.0,392849000.0,-0.00890476619973029,-42.7855908870697
14060129.000000,2023-12-31,12,4,99747000.0,23581000.0,76166000.0,6000.0,559000.0,0.0,75259000.0,15931000.0,59328000.0,64732000.0,0.0,0.9165173330037694,59.478479623794556
14090167.000000,2023-12-31,12,4,311143000.0,98560000.0,212583000.0,63378000.0,647000.0,0.0,148558000.0,38410000.0,110148000.0,70000000.0,0.0,1.5735428571428571,35.40108501911163
14090024.000000,2023-12-31,12,4,215596000.0,51545000.0,164051000.0,0.0,2071000.0,0.0,118250000.0,22530000.0,95720000.0,37312000.0,0.0,2.5653945111492282,44.397854804992676
13192448.000000,2023-12-31,12,4,367234980.0,351564000.0,15671000.0,392000.0,3351000.0,0.0,11928000.0,308000.0,11620000.0,325724000.0,4030658000.0,0.03567437462391473,3.1641867011785507
11120223.000000,2023-12-31,12,4,5575671000.0,5275491300.0,300180000.0,113087000.0,10661000.0,0.0,176432000.0,47001000.0,129431000.0,221192992.0,0.0,0.5851496416305992,2.321352995932102
16610162.000000,2023-12-31,12,4,275385000.0,21046000.0,254339000.0,116885000.0,0.0,0.0,129949000.0,23325000.0,106624000.0,99103000.0,0.0,1.075890739937237,38.71815800666809
14600025.000000,2023-12-31,12,4,4180871200.0,3788646000.0,392225000.0,66982000.0,82755000.0,0.0,242488000.0,62278000.0,180210000.0,103997000.0,0.0,1.7328384472629017,4.310345649719238
14091633.000000,2023-12-31,12,4,123877000.0,28207000.0,95670000.0,15384000.0,923000.0,0.0,79363000.0,-8000.0,79371000.0,534060992.0,0.0,0.14861785674097688,64.0724241733551
16080035.000000,2023-12-31,12,4,76123000.0,84229000.0,-8106000.0,570000.0,318000.0,-334000.0,-9328000.0,92000.0,-9420000.0,21962000.0,0.0,-0.4289226846371004,-12.37470954656601
14590098.000000,2023-12-31,12,4,431000.0,7832000.0,-7401000.0,5000.0,607000.0,0.0,-8013000.0,43000.0,-8056000.0,69264000.0,0.0,-0.1163086163086163,-1869.1415786743164
11610081.000000,2023-12-31,12,4,20142000.0,6960000.0,13182000.0,10658000.0,572000.0,0.0,1952000.0,431000.0,1521000.0,30287000.0,0.0,0.05021956615049361,7.551385462284088
14090072.000000,2023-12-31,12,4,57254000.0,49325000.0,7929000.0,868000.0,1264000.0,0.0,5797000.0,-5096000.0,10893000.0,59484000.0,0.0,0.1831248739156748,19.02574449777603
12541325.000000,2023-12-31,12,4,976344960.0,752064000.0,224281000.0,888000.0,33922000.0,0.0,189471000.0,47187000.0,142284000.0,123046000.0,2563433000.0,1.1563480324431514,14.573128521442413
14510005.000000,2023-12-31,12,4,73510200000.0,58993697000.0,14516500000.0,41700000.0,2190900000.0,-47000000.0,12236899000.0,3146600000.0,9090300000.0,312600000.0,0.0,29.079654203454893,12.36603930592537
13160002.000000,2023-12-31,12,4,17821000.0,1073000.0,16748000.0,979000.0,0.0,0.0,15769000.0,2621000.0,13148000.0,37750000.0,0.0,0.3482913907284768,73.7781286239624
17020505.000000,2023-12-31,12,4,16921000.0,7284000.0,9637000.0,253000.0,0.0,0.0,9384000.0,2426000.0,6958000.0,93720000.0,0.0,0.07424242424242425,41.12050235271454
17020493.000000,2023-12-31,12,4,5985000.0,3421000.0,2564000.0,1000.0,65000.0,0.0,2498000.0,1277000.0,1221000.0,7425000.0,0.0,0.16444444444444445,20.40100246667862
