BSECode,BTTDate,CompanyCode,CompanyName,Date,Depreciation,EBIDTA,EPS,EPS Rating,Equity,Expenses,Ext_Flag,Extraordinary,ISIN,Interest,MFList,Months,NPM,NSECode,OPM,PAT,PATRAW,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,Quarter,Reserves,Sales,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales,Tax,YearEnding,EPS Ranking
500168.0,2024-02-01,10680006.0,Goodyear India Ltd.,2023-12-31,138500000.0,449900000.0,0.9475509319462505,111.39356970841965,230700000.0,5515900000.0,False,0.0,INE533A01012,10300000.0,True,3.0,3.6642193838211137,GOODYEAR,301100000.0,218600000.0,218600000.0,-10.446538303973782,-13.908450704225354,1.6445600346770697,40.0,6945300000.0,-9.982502754196098,3.0,0.0,5965800000.0,24.4092303075769,-7.604429810890786,-17.153511497824734,18.917483105289996,1015.9081057650628,1956.10655597476,82500000.0,2023-12-31,58.904110
500290.0,2024-02-01,10680013.0,MRF Ltd.,2024-02-01,3591200000.0,11160000000.0,119.81603773584905,43154.91705121547,42400000.0,50083900000.0,False,0.0,INE883A01011,776400000.0,True,3.0,8.295030198925934,MRF,6792400000.0,5080200000.0,5080200000.0,200.21274081077885,9.268497207800317,134.88915094339623,361.2710702476006,61571900000.0,6.243626355612689,3.0,0.0,61243900000.0,268.46444347510266,9.747225070231995,214859.03366869516,2307272.757615894,-97.25777777777778,-99.98903944901765,1712200000.0,2023-12-31,99.217221
540205.0,2024-02-01,10740002.0,Aditya Vision Ltd.,2023-12-31,80400000.0,443800000.0,1.8428927680798004,180.82361374003793,120300000.0,3697700000.0,False,0.0,INE679V01019,73500000.0,True,3.0,5.353132922854038,,289900000.0,221700000.0,221700000.0,13.575819672131148,30.129453905611765,0.800498753117207,-15.154185022026438,3156000000.0,21.319289613285154,3.0,0.0,4141500000.0,15.012106537530261,31.454376402271933,-55.868171561327905,250.4777280646461,1878.0928916102348,-42.1493248132648,68200000.0,2023-12-31,65.655577
534976.0,2024-02-01,10760013.0,V-Mart Retail Ltd.,2024-02-01,582900000.0,1327200000.0,1.4271991911021233,107863.50107997515,197800000.0,7693600000.0,False,0.0,INE665J01013,375500000.0,True,3.0,3.12943419652359,VMART,368800000.0,282300000.0,282300000.0,41.29358458082391,16.01121428020268,-3.2416582406471184,-466.4241548982056,5514200000.0,8.37367554640835,3.0,0.0,9020800000.0,-457.6100702626171,16.88253877006728,540479.0540279656,3622082.2018575855,-100.00590475732645,-99.99576781970649,86500000.0,2023-12-31,99.902153
544022.0,2024-02-01,10990013.0,ASK Automotive Ltd.,2023-12-31,142446000.0,801397000.0,1.1773843793195278,0.0,394285000.0,6661834000.0,False,0.0,INE491J01022,38719000.0,True,3.0,6.220161214358768,ASKAUTOLTD,620232000.0,464225000.0,464225000.0,,,1.2159935072346146,,7962987000.0,,3.0,0.0,7463231000.0,,,,,,,156007000.0,2023-12-31,16.976517
543714.0,2024-02-01,10990106.0,Landmark Cars Ltd.,2023-12-31,87820000.0,307750000.0,0.7041253162093792,8.578355215035998,205560000.0,1337740000.0,False,0.0,INE559R01029,25730000.0,True,3.0,8.79616406055339,LANDMARK,194200000.0,144740000.0,144740000.0,2.8394921032969775,30.45260312200227,-0.3408109583602164,-149.67187489415554,1590190000.0,32.05803215519532,3.0,0.0,1645490000.0,126.48277257735903,369.9866344687016,,,,,49460000.0,2023-12-31,21.330724
533168.0,2024-02-01,11040132.0,Rossell India Ltd.,2023-12-31,34300000.0,95300000.0,0.2480106100795756,197.39956516416822,75400000.0,1027400000.0,False,-600000.0,INE847C01020,34900000.0,True,3.0,1.6656275051215819,ROSSELLIND,25500000.0,18700000.0,18700000.0,466.66666666666663,14.631406983867674,3.2387267904509285,-34.43945217344232,1201300000.0,-0.3401360544217687,3.0,0.0,1122700000.0,-55.39348710990502,7.774403686577804,571.0207649211832,-30.073136620686142,133.6801541425819,4190.1221531947385,6800000.0,2023-12-31,66.927593
531531.0,2024-02-01,11050105.0,Hatsun Agro Products Ltd.,2024-02-01,1016124000.0,2167534000.0,2.5765955823275144,25.69116348711151,222787000.0,16748121000.0,False,0.0,INE473B01035,384753000.0,True,3.0,3.0346926923757067,HATSUN,766657000.0,574032000.0,574032000.0,19.630624543131592,11.555045303993044,3.4819760578489767,76.71424785542064,19195250000.0,9.637411327364765,3.0,0.0,18915655000.0,32.18549918685401,9.322042901976218,-28.365653333288826,11.856237967875929,24.396699180026253,20.391614483852795,192625000.0,2023-12-31,29.452055
500368.0,2024-02-01,11070014.0,Patanjali Foods Ltd.,2024-02-01,596954000.0,3906330000.0,2.9915795959587586,297.8480827435778,723837000.0,75666668000.0,False,0.0,INE619A01035,251502000.0,True,3.0,2.721294979988061,PATANJALI,3057874000.0,2165416000.0,2165416000.0,-19.55751387226999,-0.08104845725840638,3.516522366223335,126.68760720373473,78457930000.0,-7.9636748401990936,3.0,0.0,79572998000.0,-4.039484170289708,3.4120374096550394,1422.6773935062313,43599.09668040306,-69.0156937287457,-71.1499219210611,892458000.0,2023-12-31,73.679061
543711.0,2024-02-01,11090251.0,Sula Vineyards Ltd.,2023-12-31,68700000.0,691500000.0,2.4377962085308056,33.29031158340127,168800000.0,1410100000.0,False,0.0,INE142Q01026,70600000.0,True,3.0,19.580319756376095,SULA,552200000.0,411500000.0,411500000.0,4.653652208067821,15.475065386052442,1.393957345971564,7.151730423700825,1313600000.0,12.443611275176977,3.0,0.0,2101600000.0,16.06501564310626,13.367498770353611,130.5486518205783,210.4650552298705,,,140700000.0,2023-12-31,33.170254
