CompanyName,ISIN,NSECode,BSECode,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Subros Ltd.,INE287B01021,SUBROS,517168.000000,10630002.000000,2023-12-31,3.000000,3.000000,7390700000.000000,6729200000.000000,661500000.000000,38200000.000000,283700000.000000,0.000000,339600000.000000,71700000.000000,267900000.000000,267900000.000000,130500000.000000,0.000000,2.052874,3.624826,False,227.106227,11.473605,2.038314,178.825996,8160800000.000000,16.717916,147.845772,85.44467852494576,8.976653145148115,12.879529872673853,23.78339181901871,384.50017415534654,3199.0833044280057
Suprajit Engineering Ltd.,INE399C01030,SUPRAJIT,532509.000000,10630007.000000,2023-12-31,3.000000,3.000000,7331300000.000000,6369020000.000000,962280000.000000,131980000.000000,258490000.000000,0.000000,571810000.000000,169350000.000000,402460000.000000,402460000.000000,138430000.000000,0.000000,2.907318,5.489613,False,5.774149,5.142613,2.510872,-24.041541,7276100000.000000,-1.381935,2438.096944,-6.667934114694566,9.450873063779962,12725.850066521873,7727.974043663294,-1014.192108137507,4557.386428371963
Gabriel India Ltd.,INE524A01029,GABRIEL,505714.000000,10640001.000000,2023-12-31,3.000000,3.000000,8192850000.000000,7452240000.000000,740610000.000000,15770000.000000,143950000.000000,0.000000,580890000.000000,168430000.000000,412460000.000000,412460000.000000,143640000.000000,0.000000,2.871484,5.034390,False,,,3.225425,,8690390000.000000,,0.000000,,,,,,
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051.000000,10650003.000000,2023-12-31,3.000000,3.000000,6050307000.000000,5176912000.000000,873395000.000000,13364000.000000,121992000.000000,0.000000,738039000.000000,188639000.000000,549400000.000000,549400000.000000,398725000.000000,0.000000,1.377892,9.080531,False,33.539884,2.222958,1.256787,34.149429,6087222000.000000,8.825348,1115.176266,17.535844695981655,4.247748226134435,31.33349800190163,47.07010226833046,10901.109499384194,12289.69615932612
ZF Commercial Vehicle Control Systems India Ltd.,INE342J01019,ZFCVINDIA,533023.000000,10660012.000000,2023-12-31,3.000000,3.000000,9279629000.000000,7649297000.000000,1630332000.000000,13811000.000000,262346000.000000,0.000000,1354175000.000000,345802000.000000,1008373000.000000,1008373000.000000,94838000.000000,0.000000,10.632584,10.866523,False,18.044395,2.918191,11.143170,53.962121,10158356000.000000,26.185115,73.062745,49.215396678849174,18.73149495127005,219.4841128997234,84.79451401139916,,
Samvardhana Motherson International Ltd.,INE775A01035,MOTHERSON,517334.000000,10670029.000000,2023-12-31,3.000000,3.000000,257522600000.000000,233279600000.000000,24243000000.000000,6202600000.000000,10163800000.000000,-8600000.000000,7868000000.000000,2176000000.000000,5692000000.000000,5692000000.000000,6776400000.000000,0.000000,0.839974,2.210291,False,10.569358,26.557180,0.325114,-50.200096,236391600000.000000,28.789931,21.655538,89.02446134663974,28.093549479079417,-34.69824996781712,6181.143851571463,98.13997102254156,-97.89964788887208
Shriram Pistons & Rings Ltd.,INE526E01018,SHRIPISTON,,10670034.000000,2023-12-31,3.000000,3.000000,7849900000.000000,6044400000.000000,1805500000.000000,81600000.000000,289700000.000000,0.000000,1434200000.000000,356500000.000000,1077700000.000000,1077700000.000000,440500000.000000,0.000000,2.446538,13.728837,False,-28.035309,21.194670,2.565267,-22.599104,7746300000.000000,16.659388,91.141468,-18.237418330978535,18.78018141635512,52.13887303317727,23.789148413850846,963.1180156323957,2082.5071454352596
JBM Auto Ltd.,INE927D01044,JBMA,532605.000000,10670055.000000,2023-12-31,3.000000,3.000000,13499500000.000000,11896500000.000000,1603000000.000000,542800000.000000,427000000.000000,0.000000,633200000.000000,138500000.000000,494700000.000000,494700000.000000,236500000.000000,0.000000,2.091755,3.664580,False,56.099426,40.309941,1.986469,24.285714,12388200000.000000,19.119598,243.479911,-17.10702865697508,15.263162152978172,749.797989606175,-60.4119726259354,825.7539329002855,3027.2094195027416
Lumax Auto Technologies Ltd.,INE872H01027,LUMAXTECH,532796.000000,10670065.000000,2023-12-31,3.000000,3.000000,7424179000.000000,6265548000.000000,1158631000.000000,175625000.000000,298238000.000000,0.000000,684768000.000000,205253000.000000,479515000.000000,479515000.000000,136315000.000000,0.000000,3.517698,6.458829,False,71.887658,64.216652,2.756733,11.144829,7094064000.000000,43.401189,34.205702,23.310749241599705,44.41074959755351,37.489328700927985,20.222002733164988,31.081142265140322,1122.505932462232
Minda Corporation Ltd.,INE842C01021,MINDACORP,538962.000000,10670088.000000,2023-12-31,3.000000,3.000000,11677900000.000000,10359400000.000000,1318500000.000000,143200000.000000,417300000.000000,0.000000,758000000.000000,250100000.000000,507900000.000000,507900000.000000,478200000.000000,0.000000,1.062108,4.349241,False,-6.687489,8.835124,1.218737,-7.682560,11978700000.000000,4.024211,112.393793,13.68624565838856,7.819779095174052,55.865399716273025,47.1102950330963,999.8884929597102,893.8653931437588
Sandhar Technologies Ltd.,INE278H01035,SANDHAR,541163.000000,10670192.000000,2023-12-31,3.000000,3.000000,8917965000.000000,8009220000.000000,908745000.000000,131257000.000000,397149000.000000,6346000.000000,386685000.000000,133031000.000000,253654000.000000,253654000.000000,601907000.000000,0.000000,0.421417,2.844304,False,27.344656,23.051544,0.457283,54.049622,8880176000.000000,18.274941,59.546166,32.79020882454619,19.14656538933883,-13.841221224186947,23.962569056994116,361.98492109930703,731885.6624372783
Apollo Tyres Ltd.,INE438A01022,APOLLOTYRE,500877.000000,10680001.000000,2023-12-31,3.000000,3.000000,66137590000.000000,53872680000.000000,12264910000.000000,1230400000.000000,3676190000.000000,-151020000.000000,7207300000.000000,2241590000.000000,4965710000.000000,4965710000.000000,635100000.000000,0.000000,7.818784,7.508151,False,70.014893,2.866125,7.464966,143.941343,63048860000.000000,5.735265,101.157053,199.1745410126972,41.399276908097015,-26.13856786437841,-12.341183637199169,38.41156811969951,28.02214980174674
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,10680003.000000,2023-12-31,3.000000,3.000000,29660800000.000000,25456400000.000000,4204400000.000000,655500000.000000,1273400000.000000,0.000000,2275500000.000000,544400000.000000,1731100000.000000,1731100000.000000,404500000.000000,0.000000,4.279604,5.836323,False,321.807992,8.678670,4.996044,3384.310345,30637900000.000000,5.493329,983.348005,861.8154666666667,7.200157228647878,-60.30010999516191,21.773552497337008,-43.60280056906966,31.367477496858964
JK Tyre & Industries Ltd.,INE573A01042,JKTYRE,530007.000000,10680007.000000,2023-12-31,3.000000,3.000000,37003200000.000000,31375400000.000000,5627800000.000000,1068600000.000000,1109000000.000000,-43900000.000000,3406300000.000000,1136400000.000000,2269900000.000000,2269900000.000000,521400000.000000,0.000000,4.353471,6.134334,False,208.457010,2.144856,5.081218,412.387387,39053200000.000000,3.745145,225.658597,271.14039130703225,4.324782122619395,-46.72944242514241,23.28546705499979,294.93488942838223,45.48985145185865
TVS Srichakra Ltd.,INE421C01016,TVSSRICHAK,509243.000000,10680010.000000,2023-12-31,3.000000,3.000000,7204400000.000000,6504700000.000000,699700000.000000,101900000.000000,265200000.000000,-900000.000000,331700000.000000,91400000.000000,240300000.000000,240300000.000000,76600000.000000,0.000000,3.137076,3.335462,False,22.978506,-1.505229,5.097911,2.251898,7403500000.000000,-11.334267,229.530629,67.57522394452945,-4.112681613863613,1076.222747543692,65887.1029013454,-110.32568827430967,-99.7458426154417
MRF Ltd.,INE883A01011,MRF,500290.000000,10680013.000000,2023-12-31,3.000000,3.000000,62400800000.000000,51076900000.000000,11323900000.000000,900000000.000000,3599800000.000000,0.000000,6824100000.000000,1727000000.000000,5097100000.000000,5097100000.000000,42400000.000000,0.000000,120.214623,8.168325,False,191.546073,9.170368,138.363208,351.763438,62878200000.000000,6.512201,11213.660891,241.32940227726576,9.832092132633125,55163.00083863128,131603.06073179696,,
Oriental Carbon & Chemicals Ltd.,INE321D01016,OCCL,506579.000000,10700004.000000,2023-12-31,3.000000,3.000000,1040717000.000000,857623000.000000,183094000.000000,25745000.000000,76497000.000000,0.000000,80852000.000000,7830000.000000,73022000.000000,73022000.000000,99901000.000000,0.000000,0.730944,7.016509,False,-42.971166,-13.790553,0.977718,-11.913243,1119998000.000000,-20.896387,148.523823,2.825778824071073,-14.481720485963093,-33.24545120328551,22.71100627892255,1653.0206104043,-94.2790780256541
PCBL Ltd.,INE602A01031,PCBL,506590.000000,10700005.000000,2023-12-31,3.000000,3.000000,16639300000.000000,13778200000.000000,2861100000.000000,323700000.000000,526500000.000000,0.000000,2010900000.000000,531100000.000000,1479800000.000000,1479800000.000000,377500000.000000,0.000000,3.920000,8.893403,False,52.321153,21.291842,3.253775,5.460634,14893900000.000000,-8.717663,377.723094,12.674873351234266,4.244580425468424,-8.096334555170252,37.197449279832554,3639.835414810355,1706.201228292089
Avenue Supermarts Ltd.,INE192R01011,DMART,540376.000000,10760016.000000,2023-12-31,3.000000,3.000000,136053900000.000000,124525800000.000000,11528100000.000000,145500000.000000,1893300000.000000,0.000000,9489300000.000000,2585200000.000000,6904100000.000000,6904100000.000000,6507300000.000000,0.000000,1.060978,5.074533,False,16.557477,17.281677,0.957924,-9.507032,126612900000.000000,18.619155,23.949439,3.2629238404469283,18.554817068127157,58.497888558305455,38.427356406504465,98.60895119126116,6176.002388705908
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755.000000,10770005.000000,2023-12-31,3.000000,3.000000,42107700000.000000,36134400000.000000,5973300000.000000,2454300000.000000,4440600000.000000,0.000000,-921600000.000000,226900000.000000,-1148500000.000000,-1148500000.000000,9491800000.000000,0.000000,-0.120999,-2.727530,False,-1821.054578,16.456981,-0.211069,-780.613788,32721800000.000000,5.669407,-659.119954,-519.1357642047893,14.484248550457036,145.78114041441242,53.58066026182892,-122.01779323460758,1088.095258049359
Vedant Fashions Ltd.,INE825V01034,MANYAVAR,543463.000000,10780020.000000,2023-12-31,3.000000,3.000000,4899240000.000000,2324120000.000000,2575120000.000000,111770000.000000,344280000.000000,0.000000,2119070000.000000,541960000.000000,1577110000.000000,1577110000.000000,242830000.000000,0.000000,6.494708,32.190911,False,4.860654,8.532414,2.006713,-29.436493,2334140000.000000,-9.048968,1309.620568,-0.8887735156487171,3.752307004615453,6627.1189880233305,3177.706181464364,-106.21430087752886,-86.96183107158939
ASK Automotive Ltd.,INE491J01022,ASKAUTOLTD,544022.000000,10990013.000000,2023-12-31,3.000000,3.000000,7631256000.000000,6815484000.000000,815772000.000000,84105000.000000,181058000.000000,0.000000,550609000.000000,155995000.000000,394614000.000000,394614000.000000,394285000.000000,0.000000,1.000834,5.171023,False,,,0.976116,,7984185000.000000,,0.000000,,,,,,
Landmark Cars Ltd.,INE559R01029,LANDMARK,543714.000000,10990106.000000,2023-12-31,3.000000,3.000000,9611000000.000000,8940100000.000000,670900000.000000,148060000.000000,262210000.000000,-5830000.000000,254800000.000000,69990000.000000,184810000.000000,184810000.000000,205560000.000000,0.000000,0.899056,1.922901,False,,,1.017470,,7733860000.000000,,0.000000,,,,,,
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425.000000,11040005.000000,2023-12-31,3.000000,3.000000,43904752000.000000,35376471000.000000,8528281000.000000,528852000.000000,812246000.000000,-30966000.000000,7158183000.000000,2032592000.000000,5125591000.000000,5125591000.000000,139627000.000000,0.000000,36.709168,11.674342,False,-42.882099,0.039378,34.703381,1.507072,46435032000.000000,1.205721,339.585655,-103.15293090664997,4.503698642334088,1298.9674342792239,437.0642437376691,1190.1305334995734,9796.234984952887
Tata Coffee Ltd.,INE493A01027,,532301.000000,11040006.000000,2023-09-30,3.000000,2.000000,7190300000.000000,5938600000.000000,1251700000.000000,210400000.000000,220900000.000000,0.000000,820400000.000000,183400000.000000,637000000.000000,637000000.000000,186800000.000000,0.000000,3.410064,8.859157,False,-56.646022,-0.506441,3.322270,-5.237441,7079300000.000000,6.287816,163.203906,-32.25676172868038,8.644560642989118,67.05756670164259,19.754753225855794,1718.4611366588267,9.684926394210823
CCL Products India Ltd.,INE421D01022,CCL,519600.000000,11040106.000000,2023-12-31,3.000000,3.000000,6656126000.000000,5535481000.000000,1120645000.000000,231968000.000000,221744000.000000,0.000000,666933000.000000,34080000.000000,632853000.000000,632853000.000000,266056000.000000,0.000000,2.378646,9.507828,False,-13.379241,24.263061,2.287436,5.314107,6082977000.000000,20.019616,171.780486,14.32986569989835,26.934037568243436,17.639960333475628,35.90347236802723,1655.6656091286256,94068.95881261597
