Company,ISIN,NSECode,BSECode,Date,MFList
360 ONE WAM Ltd.,INE466L01038,360ONE,542772.000000,2020-02-03,False
3M India Ltd.,INE470A01017,3MINDIA,523395.000000,2020-02-03,False
ABB India Ltd.,INE117A01022,ABB,500002.000000,2020-02-03,False
ACC Ltd.,INE012A01025,ACC,500410.000000,2020-02-03,False
AIA Engineering Ltd.,INE212H01026,AIAENG,532683.000000,2020-02-03,False
APL Apollo Tubes Ltd.,INE702C01027,APLAPOLLO,533758.000000,2020-02-03,False
AU Small Finance Bank Ltd.,INE949L01017,AUBANK,540611.000000,2020-02-03,False
Aarti Drugs Ltd.,INE767A01016,AARTIDRUGS,524348.000000,2020-02-03,False
Aarti Industries Ltd.,INE769A01020,AARTIIND,524208.000000,2020-02-03,False
Aavas Financiers Ltd.,INE216P01012,AAVAS,541988.000000,2020-02-03,False
Abbott India Ltd.,INE358A01014,ABBOTINDIA,500488.000000,2020-02-03,False
Adani Energy Solutions Ltd.,INE931S01010,ADANIENSOL,539254.000000,2020-02-03,False
Adani Enterprises Ltd.,INE423A01024,ADANIENT,512599.000000,2020-02-03,False
Adani Green Energy Ltd.,INE364U01010,ADANIGREEN,541450.000000,2020-02-03,False
Adani Ports and Special Economic Zone Ltd.,INE742F01042,ADANIPORTS,532921.000000,2020-02-03,False
Adani Power Ltd.,INE814H01011,ADANIPOWER,533096.000000,2020-02-03,False
Adani Total Gas Ltd.,INE399L01023,ATGL,542066.000000,2020-02-03,False
Adani Wilmar Ltd.,INE699H01024,AWL,543458.000000,2020-02-03,False
Aditya Birla Capital Ltd.,INE674K01013,ABCAPITAL,540691.000000,2020-02-03,False
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755.000000,2020-02-03,False
Aegis Logistics Ltd.,INE208C01025,AEGISCHEM,500003.000000,2020-02-03,False
Aether Industries Ltd.,INE0BWX01014,AETHER,543534.000000,2020-02-03,False
Affle (India) Ltd.,INE00WC01027,AFFLE,542752.000000,2020-02-03,False
Ajanta Pharmaceuticals Ltd.,INE031B01049,AJANTPHARM,532331.000000,2020-02-03,False
Alembic Pharmaceuticals Ltd.,INE901L01018,APLLTD,533573.000000,2020-02-03,False
Alkem Laboratories Ltd.,INE540L01014,ALKEM,539523.000000,2020-02-03,False
Alkyl Amines Chemicals Ltd.,INE150B01039,ALKYLAMINE,506767.000000,2020-02-03,False
Allcargo Logistics Ltd.,INE418H01029,ALLCARGO,,2020-02-03,False
Alok Industries Ltd.,INE270A01029,ALOKINDS,521070.000000,2020-02-03,False
Amara Raja Energy & Mobility Ltd.,INE885A01032,ARE&M,500008.000000,2020-02-03,False
Amber Enterprises India Ltd.,INE371P01015,AMBER,540902.000000,2020-02-03,False
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,500425.000000,2020-02-03,False
Angel One Ltd.,INE732I01013,ANGELONE,543235.000000,2020-02-03,False
Anupam Rasayan India Ltd.,INE930P01018,ANURAS,543275.000000,2020-02-03,False
Apar Industries Ltd.,INE372A01015,APARINDS,532259.000000,2020-02-03,False
Apollo Hospitals Enterprise Ltd.,INE437A01024,APOLLOHOSP,508869.000000,2020-02-03,False
Apollo Tyres Ltd.,INE438A01022,APOLLOTYRE,500877.000000,2020-02-03,False
Aptus Value Housing Finance India Ltd.,INE852O01025,APTUS,543335.000000,2020-02-03,False
Archean Chemical Industries Ltd.,INE128X01021,ACI,543657.000000,2020-02-03,False
Asahi India Glass Ltd.,INE439A01020,ASAHIINDIA,515030.000000,2020-02-03,False
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,500477.000000,2020-02-03,False
