CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
Berger Paints (India) Ltd.,INE463A01038,BERGEPAINT,509480,2020-02-03,False,2020-02-03,11580002.000000
Bharat Dynamics Ltd.,INE171Z01018,BDL,541143,2020-02-03,False,2020-02-03,13520141.000000
Bharat Electronics Ltd.,INE263A01024,BEL,500049,2020-02-03,False,2020-02-03,13110034.000000
Bharat Forge Ltd.,INE465A01025,BHARATFORG,500493,2020-02-03,False,2020-02-03,13570004.000000
Bharat Heavy Electricals Ltd.,INE257A01026,BHEL,500103,2020-02-03,False,2020-02-03,13510039.000000
Bharat Petroleum Corporation Ltd.,INE029A01011,BPCL,500547,2020-02-03,False,2020-02-03,12140020.000000
Bharti Airtel Ltd.,INE397D01024,BHARTIARTL,532454,2020-02-03,False,2020-02-03,15200022.000000
Biocon Ltd.,INE376G01013,BIOCON,532523,2020-02-03,False,2020-02-03,11140013.000000
Birla Corporation Ltd.,INE340A01012,BIRLACORPN,500335,2020-02-03,False,2020-02-03,11510003.000000
Birlasoft Ltd.,INE836A01035,BSOFT,532400,2020-02-03,False,2020-02-03,13030012.000000
Blue Dart Express Ltd.,INE233B01017,BLUEDART,526612,2020-02-03,False,2020-02-03,17020238.000000
Blue Star Ltd.,INE472A01039,BLUESTARCO,500067,2020-02-03,False,2020-02-03,17010002.000000
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425,2020-02-03,False,2020-02-03,11040005.000000
Borosil Renewables Ltd.,INE666D01022,BORORENEW,502219,2020-02-03,False,2020-02-03,14580004.000000
Bosch Ltd.,INE323A01026,BOSCHLTD,500530,2020-02-03,False,2020-02-03,10610013.000000
Brigade Enterprises Ltd.,INE791I01019,BRIGADE,532929,2020-02-03,False,2020-02-03,11620110.000000
Brightcom Group Ltd.,INE425B01027,BCG,532368,2020-02-03,False,2020-02-03,13190085.000000
Britannia Industries Ltd.,INE216A01030,BRITANNIA,500825,2020-02-03,False,2020-02-03,11120001.000000
CCL Products India Ltd.,INE421D01022,CCL,519600,2020-02-03,False,2020-02-03,11040106.000000
CESC Ltd.,INE486A01021,CESC,500084,2020-02-03,False,2020-02-03,15130004.000000
CG Power and Industrial Solutions Ltd.,INE067A01029,CGPOWER,500093,2020-02-03,False,2020-02-03,13150001.000000
CIE Automotive India Ltd.,INE536H01010,CIEINDIA,532756,2020-02-03,False,2020-02-03,15510021.000000
Crisil Ltd.,INE007A01025,CRISIL,500092,2020-02-03,False,2020-02-03,14010005.000000
CSB Bank Ltd.,INE679A01013,CSBBANK,542867,2020-02-03,False,2020-02-03,14030033.000000
Can Fin Homes Ltd.,INE477A01020,CANFINHOME,511196,2020-02-03,False,2020-02-03,14080002.000000
Canara Bank,INE476A01014,CANBK,532483,2020-02-03,False,2020-02-03,14030061.000000
Capri Global Capital Ltd.,INE180C01026,CGCL,531595,2020-02-03,False,2020-02-03,14010124.000000
Carborundum Universal Ltd.,INE120A01034,CARBORUNIV,513375,2020-02-03,False,2020-02-03,14550001.000000
Castrol India Ltd.,INE172A01027,CASTROLIND,500870,2020-02-03,False,2020-02-03,13550003.000000
Ceat Ltd.,INE482A01020,CEATLTD,500878,2020-02-03,False,2020-02-03,10680003.000000
Central Bank of India,INE483A01010,CENTRALBK,532885,2020-02-03,False,2020-02-03,14030013.000000
