Company,ISIN,NSECode,BSECode,Date,MFList
360 ONE WAM Ltd.,INE466L01038,360ONE,542772.000000,2024-02-01,True
3M India Ltd.,INE470A01017,3MINDIA,523395.000000,2024-02-01,True
ABB India Ltd.,INE117A01022,ABB,500002.000000,2024-02-01,True
ACC Ltd.,INE012A01025,ACC,500410.000000,2024-02-01,True
AIA Engineering Ltd.,INE212H01026,AIAENG,532683.000000,2024-02-01,True
APL Apollo Tubes Ltd.,INE702C01027,APLAPOLLO,533758.000000,2024-02-01,True
AU Small Finance Bank Ltd.,INE949L01017,AUBANK,540611.000000,2024-02-01,True
Aarti Drugs Ltd.,INE767A01016,AARTIDRUGS,524348.000000,2024-02-01,True
Aarti Industries Ltd.,INE769A01020,AARTIIND,524208.000000,2024-02-01,True
Aavas Financiers Ltd.,INE216P01012,AAVAS,541988.000000,2024-02-01,True
Abbott India Ltd.,INE358A01014,ABBOTINDIA,500488.000000,2024-02-01,True
Adani Energy Solutions Ltd.,INE931S01010,ADANIENSOL,539254.000000,2024-02-01,True
Adani Enterprises Ltd.,INE423A01024,ADANIENT,512599.000000,2024-02-01,True
Adani Green Energy Ltd.,INE364U01010,ADANIGREEN,541450.000000,2024-02-01,True
Adani Ports and Special Economic Zone Ltd.,INE742F01042,ADANIPORTS,532921.000000,2024-02-01,True
Adani Power Ltd.,INE814H01011,ADANIPOWER,533096.000000,2024-02-01,True
Adani Total Gas Ltd.,INE399L01023,ATGL,542066.000000,2024-02-01,True
Adani Wilmar Ltd.,INE699H01024,AWL,543458.000000,2024-02-01,True
Aditya Birla Capital Ltd.,INE674K01013,ABCAPITAL,540691.000000,2024-02-01,True
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755.000000,2024-02-01,True
Aegis Logistics Ltd.,INE208C01025,AEGISCHEM,500003.000000,2024-02-01,True
Aether Industries Ltd.,INE0BWX01014,AETHER,543534.000000,2024-02-01,True
Affle (India) Ltd.,INE00WC01027,AFFLE,542752.000000,2024-02-01,True
Ajanta Pharmaceuticals Ltd.,INE031B01049,AJANTPHARM,532331.000000,2024-02-01,True
Alembic Pharmaceuticals Ltd.,INE901L01018,APLLTD,533573.000000,2024-02-01,True
Alkem Laboratories Ltd.,INE540L01014,ALKEM,539523.000000,2024-02-01,True
Alkyl Amines Chemicals Ltd.,INE150B01039,ALKYLAMINE,506767.000000,2024-02-01,True
Allcargo Logistics Ltd.,INE418H01029,ALLCARGO,532749.000000,2024-02-01,True
Alok Industries Ltd.,INE270A01029,ALOKINDS,521070.000000,2024-02-01,True
Amara Raja Energy & Mobility Ltd.,INE885A01032,ARE&M,500008.000000,2024-02-01,True
Amber Enterprises India Ltd.,INE371P01015,AMBER,540902.000000,2024-02-01,True
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,500425.000000,2024-02-01,True
Angel One Ltd.,INE732I01013,ANGELONE,543235.000000,2024-02-01,True
Anupam Rasayan India Ltd.,INE930P01018,ANURAS,543275.000000,2024-02-01,True
Apar Industries Ltd.,INE372A01015,APARINDS,532259.000000,2024-02-01,True
Apollo Hospitals Enterprise Ltd.,INE437A01024,APOLLOHOSP,508869.000000,2024-02-01,True
Apollo Tyres Ltd.,INE438A01022,APOLLOTYRE,500877.000000,2024-02-01,True
Aptus Value Housing Finance India Ltd.,INE852O01025,APTUS,543335.000000,2024-02-01,True
Archean Chemical Industries Ltd.,INE128X01021,ACI,543657.000000,2024-02-01,True
Asahi India Glass Ltd.,INE439A01020,ASAHIINDIA,515030.000000,2024-02-01,True
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,500477.000000,2024-02-01,True
Asian Paints Ltd.,INE021A01026,ASIANPAINT,500820.000000,2024-02-01,True
Aster DM Healthcare Ltd.,INE914M01019,ASTERDM,540975.000000,2024-02-01,True
Astral Ltd.,INE006I01046,ASTRAL,532830.000000,2024-02-01,True
Atul Ltd.,INE100A01010,ATUL,500027.000000,2024-02-01,True
Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA,524804.000000,2024-02-01,True
Avanti Feeds Ltd.,INE871C01038,AVANTIFEED,512573.000000,2024-02-01,True
Avenue Supermarts Ltd.,INE192R01011,DMART,540376.000000,2024-02-01,True
Axis Bank Ltd.,INE238A01034,AXISBANK,532215.000000,2024-02-01,True
BEML Ltd.,INE258A01016,BEML,500048.000000,2024-02-01,True
BLS International Services Ltd.,INE153T01027,BLS,540073.000000,2024-02-01,True
BSE Ltd.,INE118H01025,BSE,-1.000000,2024-02-01,True
Bajaj Auto Ltd.,INE917I01010,BAJAJ-AUTO,532977.000000,2024-02-01,True
Bajaj Finance Ltd.,INE296A01024,BAJFINANCE,500034.000000,2024-02-01,True
Bajaj Finserv Ltd.,INE918I01026,BAJAJFINSV,532978.000000,2024-02-01,True
Bajaj Holdings & Investment Ltd.,INE118A01012,BAJAJHLDNG,500490.000000,2024-02-01,True
Balaji Amines Ltd.,INE050E01027,BALAMINES,530999.000000,2024-02-01,True
Balkrishna Industries Ltd.,INE787D01026,BALKRISIND,502355.000000,2024-02-01,True
