Company,ISIN,NSECode,BSECode,Date,MFList
Birlasoft Ltd.,INE836A01035,BSOFT,532400.000000,2024-02-01,False
Blue Dart Express Ltd.,INE233B01017,BLUEDART,526612.000000,2024-02-01,False
Blue Star Ltd.,INE472A01039,BLUESTARCO,500067.000000,2024-02-01,False
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425.000000,2024-02-01,False
Borosil Renewables Ltd.,INE666D01022,BORORENEW,502219.000000,2024-02-01,False
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,2024-02-01,False
Brigade Enterprises Ltd.,INE791I01019,BRIGADE,532929.000000,2024-02-01,False
Brightcom Group Ltd.,INE425B01027,BCG,,2024-02-01,False
Britannia Industries Ltd.,INE216A01030,BRITANNIA,500825.000000,2024-02-01,False
C.E. Info Systems Ltd.,INE0BV301023,MAPMYINDIA,543425.000000,2024-02-01,False
CCL Products (I) Ltd.,INE421D01022,CCL,519600.000000,2024-02-01,False
CESC Ltd.,INE486A01021,CESC,500084.000000,2024-02-01,False
CG Power and Industrial Solutions Ltd.,INE067A01029,CGPOWER,500093.000000,2024-02-01,False
CIE Automotive India Ltd.,INE536H01010,CIEINDIA,532756.000000,2024-02-01,False
CRISIL Ltd.,INE007A01025,CRISIL,500092.000000,2024-02-01,False
CSB Bank Ltd.,INE679A01013,CSBBANK,542867.000000,2024-02-01,False
Campus Activewear Ltd.,INE278Y01022,CAMPUS,543523.000000,2024-02-01,False
Can Fin Homes Ltd.,INE477A01020,CANFINHOME,511196.000000,2024-02-01,False
Canara Bank,INE476A01014,CANBK,532483.000000,2024-02-01,False
Capri Global Capital Ltd.,INE180C01026,CGCL,531595.000000,2024-02-01,False
Carborundum Universal Ltd.,INE120A01034,CARBORUNIV,513375.000000,2024-02-01,False
Castrol India Ltd.,INE172A01027,CASTROLIND,500870.000000,2024-02-01,False
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,2024-02-01,False
Central Bank of India,INE483A01010,CENTRALBK,532885.000000,2024-02-01,False
Central Depository Services (India) Ltd.,INE736A01011,CDSL,,2024-02-01,False
Century Plyboards (India) Ltd.,INE348B01021,CENTURYPLY,532548.000000,2024-02-01,False
Century Textile & Industries Ltd.,INE055A01016,CENTURYTEX,500040.000000,2024-02-01,False
Cera Sanitaryware Ltd,INE739E01017,CERA,532443.000000,2024-02-01,False
Chalet Hotels Ltd.,INE427F01016,CHALET,542399.000000,2024-02-01,False
Chambal Fertilizers & Chemicals Ltd.,INE085A01013,CHAMBLFERT,500085.000000,2024-02-01,False
Chemplast Sanmar Ltd.,INE488A01050,CHEMPLASTS,543336.000000,2024-02-01,False
Cholamandalam Financial Holdings Ltd.,INE149A01033,CHOLAHLDNG,504973.000000,2024-02-01,False
Cholamandalam Investment and Finance Company Ltd.,INE121A01024,CHOLAFIN,511243.000000,2024-02-01,False
Cipla Ltd.,INE059A01026,CIPLA,500087.000000,2024-02-01,False
City Union Bank Ltd.,INE491A01021,CUB,532210.000000,2024-02-01,False
Clean Science and Technology Ltd.,INE227W01023,CLEAN,543318.000000,2024-02-01,False
Coal India Ltd.,INE522F01014,COALINDIA,533278.000000,2024-02-01,False
Cochin Shipyard Ltd.,INE704P01025,COCHINSHIP,540678.000000,2024-02-01,False
Coforge Ltd.,INE591G01017,COFORGE,532541.000000,2024-02-01,False
Colgate Palmolive (India) Ltd.,INE259A01022,COLPAL,500830.000000,2024-02-01,False
Computer Age Management Services Ltd.,INE596I01012,CAMS,543232.000000,2024-02-01,False
Concord Biotech Ltd.,INE338H01029,CONCORDBIO,,2024-02-01,False
Container Corporation of India Ltd.,INE111A01025,CONCOR,531344.000000,2024-02-01,False
Coromandel International Ltd.,INE169A01031,COROMANDEL,506395.000000,2024-02-01,False
Craftsman Automation Ltd.,INE00LO01017,CRAFTSMAN,543276.000000,2024-02-01,False
CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,541770.000000,2024-02-01,False
Crompton Greaves Consumer Electricals Ltd.,INE299U01018,CROMPTON,539876.000000,2024-02-01,False
Cummins India Ltd.,INE298A01020,CUMMINSIND,500480.000000,2024-02-01,False
Cyient Ltd.,INE136B01020,CYIENT,532175.000000,2024-02-01,False
DCM Shriram Ltd.,INE499A01024,DCMSHRIRAM,523367.000000,2024-02-01,False
DLF Ltd.,INE271C01023,DLF,532868.000000,2024-02-01,False
Dabur India Ltd.,INE016A01026,DABUR,500096.000000,2024-02-01,False
Dalmia Bharat Ltd.,INE00R701025,DALBHARAT,542216.000000,2024-02-01,False
Data Patterns (India) Ltd.,INE0IX101010,DATAPATTNS,543428.000000,2024-02-01,False
Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,DEEPAKFERT,500645.000000,2024-02-01,False
Deepak Nitrite Ltd.,INE288B01029,DEEPAKNTR,506401.000000,2024-02-01,False
Delhivery Ltd.,INE148O01028,DELHIVERY,543529.000000,2024-02-01,False
Delta Corp Ltd.,INE124G01033,DELTACORP,532848.000000,2024-02-01,False
Devyani International Ltd.,INE872J01023,DEVYANI,543330.000000,2024-02-01,False
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,532488.000000,2024-02-01,False
Dixon Technologies (India) Ltd.,INE935N01020,DIXON,540699.000000,2024-02-01,False
Dr. Lal Path Labs Ltd.,INE600L01024,LALPATHLAB,539524.000000,2024-02-01,False
Dr. Reddy's Laboratories Ltd.,INE089A01023,DRREDDY,500124.000000,2024-02-01,False
E.I.D. Parry (India) Ltd.,INE126A01031,EIDPARRY,500125.000000,2024-02-01,False
EIH Ltd.,INE230A01023,EIHOTEL,500840.000000,2024-02-01,False
EPL Ltd.,INE255A01020,EPL,500135.000000,2024-02-01,False
