CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Balaji Amines Ltd.,INE050E01027,BALAMINES,530999.000000,2024-02-01,True,12080060.000000,2024-02-01
Balkrishna Industries Ltd.,INE787D01026,BALKRISIND,502355.000000,2024-02-01,True,16530003.000000,2024-02-01
Balrampur Chini Mills Ltd.,INE119A01028,BALRAMCHIN,500038.000000,2024-02-01,True,11080026.000000,2024-02-01
Bandhan Bank Ltd.,INE545U01014,BANDHANBNK,541153.000000,2024-02-01,True,14030287.000000,2024-02-01
Bank of Baroda,INE028A01039,BANKBARODA,532134.000000,2024-02-01,True,14030010.000000,2024-02-01
Bank of India,INE084A01016,BANKINDIA,532149.000000,2024-02-01,True,14030011.000000,2024-02-01
Bank of Maharashtra,INE457A01014,MAHABANK,532525.000000,2024-02-01,True,14030012.000000,2024-02-01
Bata India Ltd.,INE176A01028,BATAINDIA,500043.000000,2024-02-01,True,16510001.000000,2024-02-01
Bayer Cropscience Ltd.,INE462A01022,BAYERCROP,506285.000000,2024-02-01,True,12120001.000000,2024-02-01
Berger Paints (India) Ltd.,INE463A01038,BERGEPAINT,509480.000000,2024-02-01,True,11580002.000000,2024-02-01
Bharat Dynamics Ltd.,INE171Z01018,BDL,541143.000000,2024-02-01,True,13520141.000000,2024-02-01
Bharat Electronics Ltd.,INE263A01024,BEL,500049.000000,2024-02-01,True,13110034.000000,2024-02-01
Bharat Forge Ltd.,INE465A01025,BHARATFORG,500493.000000,2024-02-01,True,13570004.000000,2024-02-01
Bharat Heavy Electricals Ltd.,INE257A01026,BHEL,500103.000000,2024-02-01,True,13510039.000000,2024-02-01
Bharat Petroleum Corporation Ltd.,INE029A01011,BPCL,500547.000000,2024-02-01,True,12140020.000000,2024-02-01
Bharti Airtel Ltd.,INE397D01024,BHARTIARTL,532454.000000,2024-02-01,True,15200022.000000,2024-02-01
Bikaji Foods International Ltd.,INE00E101023,BIKAJI,543653.000000,2024-02-01,True,11290626.000000,2024-02-01
Biocon Ltd.,INE376G01013,BIOCON,532523.000000,2024-02-01,True,11140013.000000,2024-02-01
Birla Corporation Ltd.,INE340A01012,BIRLACORPN,500335.000000,2024-02-01,True,11510003.000000,2024-02-01
Birlasoft Ltd.,INE836A01035,BSOFT,532400.000000,2024-02-01,True,13030012.000000,2024-02-01
Blue Dart Express Ltd.,INE233B01017,BLUEDART,526612.000000,2024-02-01,True,17020238.000000,2024-02-01
Blue Star Ltd.,INE472A01039,BLUESTARCO,500067.000000,2024-02-01,True,17010002.000000,2024-02-01
Bombay Burmah Trading Corporation Ltd.,INE050A01025,BBTC,501425.000000,2024-02-01,True,11040005.000000,2024-02-01
Borosil Renewables Ltd.,INE666D01022,BORORENEW,502219.000000,2024-02-01,True,14580004.000000,2024-02-01
Bosch Ltd.,INE323A01026,BOSCHLTD,500530.000000,2024-02-01,True,10610013.000000,2024-02-01
Brigade Enterprises Ltd.,INE791I01019,BRIGADE,532929.000000,2024-02-01,True,11620110.000000,2024-02-01
Brightcom Group Ltd.,INE425B01027,BCG,532368.000000,2024-02-01,True,13190085.000000,2024-02-01
