CompanyCode,CompanyName,ShortCompanyName,TickerName,ParentCompanyCode,PersonDescription,PersonName,ExecutiveDescription,ExecutiveName,BSECode,BSEGroup,NSECode,ISINCode,Sourcetype,IncorporationDate,FirstPublicIssueDate,Auditeddate,FaceValue,Marketlot,IndustryCode,IndustryName,BusinessGroupCode,BusinessGroupName,MajorSector,latestFinYear,ForemostFinYear,LatestHalfYear,ForemostHalfYear,LatestQtrYear,ForemostQtrYear,ModifiedDate
14060461.0,Continental Securities Ltd.,Continental Sec,Conti.Securi,0.0,Mr.,Madan Lal Khandelwal,Ms.,Pravita Khandelwal,538868.0,XT,,INE183Q01012,A,1990-03-30,,,10.0,1.0,409,Finance & Investments,10514,Not Applicable,1,2103,1103,2203,1103,2206.0,1103.0,2022-08-01 07:20:04
14060484.0,Anjani Finance Ltd.,Anjani Finance Ltd.,Anjani Fin,0.0,Mr.,Sanjay Kumar Agarwal,Mr.,Nasir Khan,531878.0,X,,INE283D01018,A,1989-04-20,1996-03-14,,10.0,1.0,409,Finance & Investments,10514,Not Applicable,1,2103,9703,2203,9603,2206.0,9806.0,2022-08-01 07:20:04
14070062.0,Indo-City Infotech Ltd.,Indo-City Infotech L,IndoCity Inf,0.0,Mr.,Aneel Banwari Jain,Ms.,Kriti Goyal,532100.0,X,,INE456B01014,A,1992-09-22,1996-09-09,,10.0,1.0,319,IT Consulting & Software,10514,Not Applicable,1,2103,9803,2203,9603,2206.0,9706.0,2022-08-01 07:20:04
14080025.0,Manraj Housing Finance Ltd.,Manraj Housing F,ManrajHsgFin,0.0,Mr.,Ishwarlal S Jain,Ms.,Ayushi Ashok Kabra,530537.0,Z,,INE948I01015,A,1990-01-11,1995-03-27,,10.0,1.0,408,Finance - Housing,10514,Not Applicable,1,2103,9503,2203,9409,2206.0,9812.0,2022-08-01 07:20:04
14090007.0,Walchand Peoplefirst Ltd.,Walchand Peoplefirst,Walchand Cap,0.0,Ms.,Pallavi Jha,Ms.,Kajal Sudani,501370.0,X,,INE695D01021,A,1920-07-06,,,10.0,1.0,409,Finance & Investments,10332,Walchand Gulabchand Group,1,2203,8903,2203,8903,2206.0,9706.0,2022-08-01 07:20:04
14090193.0,Nam Securities Ltd.,Nam Securities,Nam Sec,0.0,Mrs.,Kiran Goyal,Ms.,Divya Bisht,538395.0,X,,INE792G01011,A,1994-07-05,1995-12-18,,10.0,1.0,409,Finance & Investments,10514,Not Applicable,1,2103,103,2203,9909,2206.0,9906.0,2022-08-01 07:20:04
14090264.0,Vertex Securities Ltd.,Vertex Securitie,Vertex Sec.,14010533.0,Mr.,Kumar Nair,Ms.,Pranali Kadam,531950.0,X,,INE316D01024,A,1993-09-15,1996-06-12,,2.0,1.0,409,Finance & Investments,10514,Not Applicable,1,2103,9503,2203,9509,2206.0,9806.0,2022-08-01 07:20:04
14091052.0,Onelife Capital Advisors Ltd.,Onelife Capital Adv,Onelife Cap,0.0,,,Ms.,Aditi Mahamunkar,533632.0,T,ONELIFECAP,INE912L01015,A,2007-08-31,2011-09-28,,10.0,1.0,409,Finance & Investments,10514,Not Applicable,1,2103,803,2203,803,2206.0,1112.0,2022-08-01 07:20:04
14094822.0,IRB InvIT Fund,IRB InvIT Fund,IRB InvIT,0.0,Mr.,Vinod Kumar Menon,Ms.,Swapna Vengurlekar,540526.0,IF,IRBINVIT,INE183W23014,A,2015-10-10,,2022-05-07,0.0,1.0,720,Investment Trusts,11184,IRB Group,1,2203,1403,2203,1403,2206.0,1706.0,2022-08-01 07:20:04
14100051.0,IDFC First Bank Ltd.,IDFC First Bank,IDFC Bank,0.0,Mr.,V Vaidyanathan,Mr.,Satish Gaikwad,539437.0,A,IDFCFIRSTB,INE092T01019,A,2014-10-21,,2022-04-30,10.0,1.0,403,Finance - Banks - Private Sector,11353,IDFC Group,2,2203,1503,2203,1409,2206.0,1412.0,2022-08-01 07:20:04
